예보구역코드,시작시간(KST),종료시각(KST),"특성(A:육상, C:도시, H:해상)",예보구역명
11B00000,201101110800 ,210012310000 ,A,서울.인천.경기
11B10101,201501221100 ,210012310000 ,C,서울
11B20201,201501221100 ,210012310000 ,C,인천
11B20305,201501221100 ,210012310000 ,C,파주
11B20601,201501221100 ,210012310000 ,C,수원
11BD0000,199001010000 ,210012310000 ,0,서울경기.강원영서
11C00000,199001010000 ,210012310000 ,A,충청도
11C10000,201507061100 ,210012310000 ,A,충청북도
11C10301,201501221100 ,210012310000 ,C,청주
11C20000,199001010000 ,210012310000 ,A,충청남도
11C20101,201501221100 ,210012310000 ,C,서산
11C20401,199001010000 ,210012310000 ,C,대전
11C20404,201207020000 ,210012310000 ,C,세종
11D10000,201501221100 ,210012310000 ,A,강원영서
11D10301,201501221100 ,210012310000 ,C,춘천
11D10401,201501221100 ,210012310000 ,C,원주
11D20000,199001010000 ,210012310000 ,A,강원영동
11D20501,199001010000 ,210012310000 ,C,강릉
11F00000,199001010000 ,210012310000 ,A,전라도
11F10000,201507061100 ,210012310000 ,A,전라북도
11F10201,200902010000 ,210012310000 ,C,전주
11F20000,199001010000 ,210012310000 ,A,전라남도
11F20401,201501221100 ,210012310000 ,C,여수
11F20501,199001010000 ,210012310000 ,C,광주
11G00000,199001010000 ,210012310000 ,A,제주도
11G00201,199001010000 ,210012310000 ,C,제주
11G00401,201501221100 ,210012310000 ,C,서귀포
11H00000,199001010000 ,210012310000 ,A,경상도
11H10000,201507061100 ,210012310000 ,A,경상북도
11H10201,201501221100 ,210012310000 ,C,포항
11H10501,201501221100 ,210012310000 ,C,안동
11H10701,200902010000 ,210012310000 ,C,대구
11H20000,199001010000 ,210012310000 ,A,경상남도
11H20101,201501221100 ,210012310000 ,C,울산
11H20201,199001010000 ,210012310000 ,C,부산
11H20301,201501221100 ,210012310000 ,C,창원
11I00000,199001010000 ,210012310000 ,A,황해도
11I20002,200907011200 ,210012310000 ,C,개성
11J10000,199001010000 ,210012310000 ,A,평안북도
11J10001,200906150000 ,210012310000 ,C,신의주
11J20000,199001010000 ,210012310000 ,A,평안남도
11J20001,200907011200 ,210012310000 ,C,평양
11K10000,199001010000 ,210012310000 ,A,함경북도
11K10001,200907010000 ,210012310000 ,C,청진
11K20000,199001010000 ,210012310000 ,A,함경남도
11K20001,200907011200 ,210012310000 ,C,함흥
12A00000,199001010000 ,210012310000 ,H,서해
12A10000,201409111700 ,210012310000 ,H,서해북부
12A20000,201501221100 ,210012310000 ,H,서해중부
12A30000,199001010000 ,210012310000 ,H,서해남부
12B00000,199001010000 ,210012310000 ,H,남해
12B10000,201512281700 ,210012310000 ,H,남해서부
12B10500,200810240000 ,210012310000 ,H,제주도해상
12B20000,199001010000 ,210012310000 ,H,남해동부
12C00000,199001010000 ,210012310000 ,H,동해
12C10000,199001010000 ,210012310000 ,H,동해남부
12C20000,199001010000 ,210012310000 ,H,동해중부
12C30000,201409111700 ,210012310000 ,H,동해북부
12D00000,201310150500 ,210012310000 ,H,대화퇴
12E00000,201310150500 ,210012310000 ,H,동중국해
12F00000,199001010000 ,210012310000 ,H,규슈
12F00100,199001010000 ,210012310000 ,I,규슈(서해)
12F00200,199001010000 ,210012310000 ,I,규슈(남해)
12G00000,201310150500 ,210012310000 ,H,연해주
21F10501,201501221100 ,210012310000 ,C,군산
21F20801,201501221100 ,210012310000 ,C,목포
